,Density,Speed,Flow
0,0.30450475957396184,21.631316507415907,6.586838832358961
1,0.972324701702897,20.47411618892967,19.907488916031486
2,1.693256836536974,20.77029709412318,35.16944755152813
3,2.2485172034923258,19.40221517354095,43.62621460356658
4,2.7398352067204987,19.311496732030587,52.910318640885215
5,3.1405106203498625,19.901620261664895,62.501249793928686
6,3.1938887552643593,19.98492108454202,63.82961472676434
7,3.1929877133033067,19.273189558647392,61.539057456926805
8,3.1941463286629244,20.108732907255604,64.23023538977387
9,3.1946642650636465,19.292583164974157,61.633326017911536
10,3.1920141416487966,19.48466063206847,62.1953122827902
11,3.1931774063477394,19.917038872316137,63.59863852842937
12,3.195902849059647,20.564884050739284,65.72337152833897
13,3.1914264651582047,19.651422413318397,62.71606956786738
14,3.1958424076484304,19.744782387969558,63.101212885262974
15,3.192945869249391,19.86934216950907,63.4417340048367
16,3.193806926892249,20.096063220862217,64.1829459180542
17,3.193718589445086,19.30425523599005,61.652358802574064
18,3.192517200163686,19.825789230309482,63.29417312458303
19,3.195879602363025,19.970363585049142,63.82287763323194
20,3.192928201759959,19.895215409186026,63.52399436007923
21,3.1923870186626058,20.06539062357094,64.05649255108221
22,3.191073115369556,20.070260908941794,64.04567000497666
23,3.195264959704352,20.45571127072278,65.36141744916978
24,3.1938199450423586,20.029432074913018,63.97039964872833
25,3.1915864024309633,19.09409379189063,60.940450112939565
26,3.092244898956379,20.546007521951044,63.53328695367252
27,2.9710291838288034,20.28543348974949,60.26861490466387
28,2.5241030724691034,20.38399495150995,51.451304286301024
29,2.285936946110071,19.20474922732604,43.90084579952335
30,1.8038450918370514,19.08722516797309,34.43039743603693
31,1.1739507404443466,20.58799991128658,24.169297740122996
32,0.8560493745413289,19.182673324542105,16.42131550150489
33,0.6274069548542024,19.994639734292527,12.54477602909932
34,0.2780360708006879,19.329926369370508,5.374416776606382
